pos,name,points
1,RASIO RACING,747
2,TRANSATLANTIC RAIDERS,710
3,PEDALERS,671
4,GLASGOW UNITED CC,668
5,TEAM SANZ,662
6,MOON RIDERS,630
7,TEAM POCOMOTION (BLIGHTY),603
8,SOUTHBOROUGH (SDW) BEES,491
9,TEAM BTR,481
10,WESTERLEY TWO,469
11,WESTERLEY ONE,432
12,TEAM POCOMOTION (VIKINGS),404
13,TEAM CAMERON,296
14,SOUTHBOROUGH (SDW) SKEETERS,263
15,WESTERLEY FOUR,185
16,WESTERLEY THREE,164
