pos,url,name,westerley points,race count
1,https://rgtdb.com/user/128814,Tim Cummins,94,5
2,https://rgtdb.com/user/86973,David wcc Buckley wcc,87,5
3,https://rgtdb.com/user/70138,Andrew Beale,84,5
4,https://rgtdb.com/user/65012,Dave Morrison,80,5
5,https://rgtdb.com/user/91958,Gt Thakkar,45,3
6,https://rgtdb.com/user/149081,Sam Doshi,41,3
7,https://rgtdb.com/user/241161,Weiran Shen,34,2
8,https://rgtdb.com/user/221746,Tom Yates-ijaz,33,2
9,https://rgtdb.com/user/228324,Nic Lee,31,2
10,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,20,5
11,https://rgtdb.com/user/74342,Nic Stevenson,20,1
12,https://rgtdb.com/user/86836,Rob Bennett,20,1
13,https://rgtdb.com/user/69166,Ian Nguru,17,1
