pos,url,name,westerley points,race count
1,https://rgtdb.com/user/128814,Tim Cummins,77,4
2,https://rgtdb.com/user/70138,Andrew Beale,69,4
3,https://rgtdb.com/user/86973,David wcc Buckley wcc,68,4
4,https://rgtdb.com/user/65012,Dave Morrison,62,4
5,https://rgtdb.com/user/149081,Sam Doshi,41,3
6,https://rgtdb.com/user/241161,Weiran Shen,34,2
7,https://rgtdb.com/user/221746,Tom Yates-ijaz,33,2
8,https://rgtdb.com/user/228324,Nic Lee,31,2
9,https://rgtdb.com/user/91958,Gt Thakkar,29,2
10,https://rgtdb.com/user/74342,Nic Stevenson,20,1
11,https://rgtdb.com/user/86836,Rob Bennett,20,1
12,https://rgtdb.com/user/69166,Ian Nguru,17,1
