pos,name,points
1,RASIO RACING,572
2,TRANSATLANTIC RAIDERS,519
3,PEDALERS,497
4,TEAM SANZ,494
5,GLASGOW UNITED CC,472
6,MOON RIDERS,462
7,TEAM POCOMOTION (BLIGHTY),457
8,WESTERLEY TWO,348
9,SOUTHBOROUGH (SDW) BEES,328
10,WESTERLEY ONE,317
11,TEAM BTR,314
12,TEAM POCOMOTION (VIKINGS),219
13,SOUTHBOROUGH (SDW) SKEETERS,216
14,TEAM CAMERON,174
15,WESTERLEY FOUR,131
16,WESTERLEY THREE,95
