pos,name,points
1,RASIO RACING,2426
2,TEAM SANZ,2241
3,GLASGOW UNITED CC,2214
4,TRANSATLANTIC RAIDERS,2136
5,MOON RIDERS,2037
6,PEDALERS,1961
7,WESTERLEY TWO,1679
8,TEAM POCOMOTION (BLIGHTY),1636
9,WESTERLEY ONE,1559
10,TEAM CAMERON,1183
11,SOUTHBOROUGH (SDW) BEES,1092
12,TEAM BTR,895
13,WESTERLEY THREE,583
14,TEAM POCOMOTION (VIKINGS),481
15,WESTERLEY FOUR,431
16,SOUTHBOROUGH (SDW) SKEETERS,389
