pos,name,points
1,RASIO RACING,2242
2,TEAM SANZ,2053
3,GLASGOW UNITED CC,2033
4,TRANSATLANTIC RAIDERS,1966
5,MOON RIDERS,1867
6,PEDALERS,1816
7,WESTERLEY TWO,1564
8,WESTERLEY ONE,1504
9,TEAM POCOMOTION (BLIGHTY),1477
10,TEAM CAMERON,1073
11,SOUTHBOROUGH (SDW) BEES,1040
12,TEAM BTR,795
13,WESTERLEY THREE,583
14,TEAM POCOMOTION (VIKINGS),481
15,SOUTHBOROUGH (SDW) SKEETERS,389
16,WESTERLEY FOUR,389
