pos,userurl,name,rgt_teamname,vr_teamname,team_qualifier,westerley_pos,ladies_points,time_secs,delta_secs,wkg,country,time_human,delta_human
1,/user/274421,Louis Francis [wvs],,,,,,661.9,0.0,4.19,,11:01.900,00:00.000
2,/user/95553,John Sammut (a),Pocomotion,POCOMOTION,True,,,690.6,28.716,4.44,UK,11:30.600,00:28.716
3,/user/162999,Wheel Sucker,,,,,,1277.4,615.5,5.45,,21:17.400,10:15.500
4,/user/84367,Doug Hart [pdl],ICC,,,,,1302.2,640.279,4.53,,21:42.200,10:40.279
5,/user/315157,G.  Beppedelon (team italy),Team Italy,,,,,1302.5,640.599,5.56,,21:42.500,10:40.599
6,/user/270710,Jack Samways[wvs],,WATFORD VELO SPORT RT,True,,,1309.8,647.877,4.69,,21:49.800,10:47.877
7,/user/134948,Nick Greenhalgh [ЯƦ] c,яʀ,RASIO RACING,True,1,,1321.0,659.12,4.78,UK,22:01.000,10:59.120
8,/user/218148,Matthias Leten,,,,,,1322.4,660.481,5.47,,22:02.400,11:00.481
9,/user/103369,Kader Allouni poco,Pocomotion,POCOMOTION,True,,,1322.5,660.613,4.42,UK,22:02.500,11:00.613
10,/user/104439,Nick Giles poco,Pocomotion,,,,,1325.7,663.803,5.29,,22:05.700,11:03.803
11,/user/126963,Miles Askew [ṀṚ],ṀṚ,MOON RIDERS 1,True,,,1325.8,663.856,5.02,,22:05.800,11:03.856
12,/user/160071,Wouter Claes ṀṚ,ṀṚ,MOON RIDERS 1,True,,,1332.3,670.389,4.59,Belgium,22:12.300,11:10.389
13,/user/126762,Daniel Cadiz,[D],,,,,1337.8,675.843,4.59,,22:17.800,11:15.843
14,/user/256517,Roger Hughes poco,Pocomotion,,,,,1345.2,683.275,4.45,,22:25.200,11:23.275
15,/user/264656,Alberto Faustino,,,,,,1346.3,684.428,4.83,,22:26.300,11:24.428
16,/user/132783,Mathias  Bergkvist,,,,,,1357.0,695.082,4.21,Sweden,22:37.000,11:35.082
17,/user/621,Jared Millar b,,,,,,1358.3,696.357,4.75,,22:38.300,11:36.357
18,/user/141031,Kevan Unsworth,,TEAM CAMERON,True,,,1362.8,700.857,3.07,UK,22:42.800,11:40.857
19,/user/202139,Kamil Waligora,,,,,,1362.9,701.0409999999999,3.86,,22:42.900,11:41.041
20,/user/158558,Buck Rogers,,,,,,1368.9,706.991,4.03,,22:48.900,11:46.991
21,/user/270702,Stuart Gillies tcc,,TWICKENHAM CC,True,,,1372.0,710.05,3.82,,22:52.000,11:50.050
22,/user/143480,Mark Rowbottom яʀ,яʀ,RASIO RACING,True,,,1373.1,711.226,4.5,UK,22:53.100,11:51.226
23,/user/76154,Francis Lambert,Pedalers,,,,,1374.8,712.902,3.92,,22:54.800,11:52.902
24,/user/128814,Tim Cummins,,WESTERLEY ONE,True,2,,1378.4,716.471,4.52,UK,22:58.400,11:56.471
25,/user/155757,Jan Linden poco,Pocomotion,POCOMOTION,False,,,1382.2,720.253,4.47,Netherlands,23:02.200,12:00.253
26,/user/171135,Tomasz Poniatowski [ṀṚ],ṀṚ,MOON RIDERS 1,False,,,1399.7,737.799,3.31,Poland,23:19.700,12:17.799
27,/user/79305,Carlos Cela,,,,,,1402.3,740.39,4.12,Espana,23:22.300,12:20.390
28,/user/243207,Ian Sudds ,,,,,,1404.0,742.129,3.91,,23:24.000,12:22.129
29,/user/196997,Erik Nylin,,,,,,1409.7,747.809,3.33,,23:29.700,12:27.809
30,/user/79121,James Melville,,GLASGOW UNITED CC,True,,,1409.7,747.83,4.55,UK,23:29.700,12:27.830
31,/user/94149,James Dicks,,,,,,1415.1,753.163,4.77,,23:35.100,12:33.163
32,/user/150787,Paul Hindson,,,,,,1418.1,756.239,3.85,,23:38.100,12:36.239
33,/user/141761,Alasdair Mcalpine,,GLASGOW UNITED CC,True,,,1421.7,759.7860000000001,5.06,UK,23:41.700,12:39.786
34,/user/148364,Karl Bülow (m),,,,,,1424.6,762.699,3.57,,23:44.600,12:42.699
35,/user/70138,Andrew Beale c,We,WESTERLEY TWO,True,3,,1424.6,762.716,3.75,UK,23:44.600,12:42.716
36,/user/66828,Even Oistensen (3r) ,3R,,,,,1425.9,763.978,3.64,,23:45.900,12:43.978
37,/user/167945,Bernhard Wolkerstorf,,,,,,1427.6,765.648,3.89,,23:47.600,12:45.648
38,/user/198726,Mario  Cavelius,,,,,,1427.8,765.868,4.24,,23:47.800,12:45.868
39,/user/39166,Ned Bowen,[D],,,,,1432.2,770.252,4.25,USA,23:52.200,12:50.252
40,/user/278069,Sjoerd  Meeuwsen,,,,,,1433.3,771.384,4.01,,23:53.300,12:51.384
41,/user/124207,David Baggy sdw,SDW,,,,,1440.1,778.145,3.91,,24:00.100,12:58.145
42,/user/56133,Peter Austin otr c,OT,,,,,1444.4,782.455,3.86,UK,24:04.400,13:02.455
43,/user/249688,Pat Herron,,,,,,1454.8,792.852,4.37,UK,24:14.800,13:12.852
44,/user/267104,Simon  Hall [wvs],,WATFORD VELO SPORT RT,True,,,1456.4,794.504,4.54,,24:16.400,13:14.504
45,/user/143668,Stu Thorn,,,,,,1459.8,797.9,3.65,,24:19.800,13:17.900
46,/user/96645,Marcin Szkudlarek [ṀṚ],ṀṚ,SATELITE RIDERS,True,,,1469.9,807.959,3.87,Poland,24:29.900,13:27.959
