pos,name,points
1,RASIO RACING,747
2,TRANSATLANTIC RAIDERS,710
3,GLASGOW UNITED CC,668
4,TEAM SANZ,662
5,PEDALERS,642
6,MOON RIDERS,623
7,TEAM POCOMOTION (BLIGHTY),603
8,SOUTHBOROUGH (SDW) BEES,491
9,WESTERLEY TWO,469
10,WESTERLEY ONE,432
11,TEAM POCOMOTION (VIKINGS),404
12,TEAM CAMERON,296
13,WESTERLEY THREE,164
14,SOUTHBOROUGH (SDW) SKEETERS,67
