pos,userurl,name,rgt_teamname,vr_teamname,team_qualifier,westerley_pos,ladies_points,time_secs,delta_secs,wkg,country,time_human,delta_human
47,/user/165681,Judith Newton (w),,,,,,1620.7,171.266,3.7,,27:00.700,02:51.266
48,/user/306628,Timothy Richardson,,,,,,1621.5,172.026,3.81,,27:01.500,02:52.026
49,/user/155619,Pierre Massé,,,,,,1624.5,175.014,3.67,France,27:04.500,02:55.014
50,/user/99114,Thomas Alsop,,,,,,1643.3,193.828,2.88,,27:23.300,03:13.828
51,/user/192224,Luigi Piollini,,,,,,1652.9,203.46699999999998,3.63,,27:32.900,03:23.467
52,/user/259033,Elber Galarga,,,,,,1682.4,232.901,3.21,,28:02.400,03:52.901
53,/user/86973,David wcc Buckley wcc,,WESTERLEY ONE,True,4,,1689.7,240.2,2.81,UK,28:09.700,04:00.200
54,/user/262464,Thomas  Berthold,,,,,,1690.5,241.072,3.55,,28:10.500,04:01.072
55,/user/224721,Dan Spence,,,,,,1696.4,246.97,3.21,,28:16.400,04:06.970
56,/user/221770,Rafael Nunez,,,,,,1701.2,251.763,3.0,,28:21.200,04:11.763
57,/user/123417,Mike Buckhurst,,,,,,1771.1,321.681,2.77,USA,29:31.100,05:21.681
58,/user/142640,Roger Beaven (f cat),,,,,,1771.2,321.70799999999997,3.33,,29:31.200,05:21.708
59,/user/186537,Philipp H.,,,,,,1771.2,321.733,3.15,,29:31.200,05:21.733
60,/user/278058,Claire  Miller (tcc),,TWICKENHAM CC LADIES,True,,100,1771.3,321.823,3.61,,29:31.300,05:21.823
61,/user/255577,Wendy Wonderweels-otr,OTR-keas,,,,99,1771.4,321.911,3.31,,29:31.400,05:21.911
62,/user/202732,Kara Bonneau,,,,,,1772.0,322.495,3.09,,29:32.000,05:22.495
63,/user/239903,Miguel Silva(o),,,,,,1791.0,341.522,2.68,,29:51.000,05:41.522
64,/user/66324,Gavin Grant tcc,,TWICKENHAM CC,True,,,1839.1,389.608,2.35,,30:39.100,06:29.608
65,/user/241536,Lynda Lynda v,OTR,,,,95,1923.4,473.964,3.01,,32:03.400,07:53.964
66,/user/95553,John Sammut (a),Pocomotion,POCOMOTION,False,,,1940.1,490.628,2.68,UK,32:20.100,08:10.628
67,/user/301874,Sergi Paredes,,,,,,1950.3,500.835,2.08,,32:30.300,08:20.835
68,/user/289203,Rick Van der laan,,,,,,1978.4,528.894,2.58,,32:58.400,08:48.894
69,/user/300006,Marcello De carli,,,,,,1978.4,528.968,2.83,,32:58.400,08:48.968
70,/user/95813,Lisa West tcc,,TWICKENHAM CC LADIES,True,,90,1986.3,536.788,2.18,,33:06.300,08:56.788
71,/user/291095,Wright Jessica ,,,,,,2105.2,655.745,2.13,,35:05.200,10:55.745
72,/user/259826,Tracy Corken,,,,,,2105.9,656.396,2.53,,35:05.900,10:56.396
73,/user/3964,L.  rowland (tcc),,TWICKENHAM CC LADIES,False,,87,2130.3,680.864,1.85,,35:30.300,11:20.864
74,/user/283647,Claire Thompson tcc,,TWICKENHAM CC LADIES,False,,86,2329.3,879.816,2.13,,38:49.300,14:39.816
