pos,name,points
1,MOON RIDERS 1,1857
2,POCOMOTION,1687
3,RASIO RACING,1653
4,WATFORD VELO SPORT RT,1562
5,GLASGOW UNITED CC,1483
6,SOUTHBOROUGH (SDW) BEES,1181
7,WESTERLEY ONE,1006
8,SOUTHBOROUGH (SDW) STINGERS,978
9,TWICKENHAM CC,970
10,SATELITE RIDERS,943
11,SOUTHBOROUGH (SDW) HORNETS,826
12,WESTERLEY TWO,686
13,TEAM CAMERON,454
14,TEAM SANZ,387
15,TWICKENHAM CC LADIES,371
16,SMILE ON,283
