pos,name,points
1,MOON RIDERS 1,2229
2,POCOMOTION,2067
3,RASIO RACING,2001
4,WATFORD VELO SPORT RT,1881
5,GLASGOW UNITED CC,1783
6,SOUTHBOROUGH (SDW) BEES,1259
7,WESTERLEY ONE,1255
8,TWICKENHAM CC,1185
9,SATELITE RIDERS,1127
10,SOUTHBOROUGH (SDW) STINGERS,1032
11,SOUTHBOROUGH (SDW) HORNETS,875
12,WESTERLEY TWO,829
13,TEAM CAMERON,606
14,TWICKENHAM CC LADIES,532
15,TEAM SANZ,387
16,SMILE ON,283
