team_name,points
GLASGOW UNITED CC,196
TRANSATLANTIC RAIDERS,191
TEAM POCOMOTION (VIKINGS),185
RASIO RACING,175
TEAM SANZ,168
SOUTHBOROUGH (SDW) BEES,163
MOON RIDERS,161
PEDALERS,160
TEAM POCOMOTION (BLIGHTY),146
TEAM CAMERON,122
WESTERLEY TWO,121
WESTERLEY ONE,115
WESTERLEY THREE,69
