team_name,points
TEAM SANZ,192
RASIO RACING,184
TRANSATLANTIC RAIDERS,172
PEDALERS,165
MOON RIDERS,160
TEAM POCOMOTION (BLIGHTY),153
GLASGOW UNITED CC,153
SOUTHBOROUGH (SDW) BEES,118
WESTERLEY TWO,105
WESTERLEY ONE,89
WESTERLEY THREE,67
TEAM POCOMOTION (VIKINGS),62
SOUTHBOROUGH (SDW) SKEETERS,33
TEAM CAMERON,27
