team_name,points
TEAM SANZ,189
TRANSATLANTIC RAIDERS,186
RASIO RACING,186
GLASGOW UNITED CC,179
MOON RIDERS,167
TEAM CAMERON,166
WESTERLEY ONE,142
WESTERLEY TWO,137
PEDALERS,99
TEAM POCOMOTION (BLIGHTY),91
SOUTHBOROUGH (SDW) BEES,87
WESTERLEY THREE,60
