pos,userurl,name,rgt_teamname,vr_teamname,team_qualifier,westerley_pos,ladies_points,time_secs,delta_secs,wkg,country,time_human,delta_human
1,/user/39166,Ned Bowen [d],[D],,,,,1253.3,0.0,3.97,USA,20:53.300,00:00.000
2,/user/160071,Wouter Claes [ṀṚ],ṀṚ,MOON RIDERS 1,True,,,1253.3,0.005,3.98,Belgium,20:53.300,00:00.005
3,/user/621,Jared Millar b,,,,,,1253.4,0.039,4.36,,20:53.400,00:00.039
4,/user/198726,Mario  Cavelius,,,,,,1253.7,0.384,4.01,,20:53.700,00:00.384
5,/user/155757,Jan Linden poco,Pocomotion,POCOMOTION,True,,,1253.7,0.39,4.25,Netherlands,20:53.700,00:00.390
6,/user/185830,James Currie sdw b,SDW,SOUTHBOROUGH (SDW) BEES,True,,,1253.8,0.442,3.66,,20:53.800,00:00.442
7,/user/134948,Nick Greenhalghяʀ (o),яʀ,RASIO RACING,True,1,,1254.3,0.924,3.9,UK,20:54.300,00:00.924
8,/user/95553,J. Sammut (a),Pocomotion,POCOMOTION,True,,,1254.6,1.303,4.05,UK,20:54.600,00:01.303
9,/user/132783,Mathias  Bergkvist,,,,,,1254.6,1.309,3.94,Sweden,20:54.600,00:01.309
10,/user/79305,Carlos Cela,,,,,,1254.9,1.558,4.08,Espana,20:54.900,00:01.558
11,/user/113120,John Beames [pdl],Pedalers,,,,,1254.9,1.608,4.43,,20:54.900,00:01.608
12,/user/143480,Mark Rowbottom яʀ,яʀ,RASIO RACING,True,,,1255.0,1.674,4.5,UK,20:55.000,00:01.674
13,/user/79121,James Melville,,GLASGOW UNITED CC,True,,,1255.0,1.705,4.1,UK,20:55.000,00:01.705
14,/user/141761,Alasdair Mcalpine,,GLASGOW UNITED CC,True,,,1255.6,2.241,4.6,UK,20:55.600,00:02.241
15,/user/188139,Per Soderberg,OTR team g,,,,,1255.8,2.461,3.72,,20:55.800,00:02.461
16,/user/6305,Mike Ade,OTR Racing,,,,,1256.9,3.526,3.75,UK,20:56.900,00:03.526
17,/user/278294,Enot Racoon,,,,,,1257.1,3.818,3.41,,20:57.100,00:03.818
18,/user/254894,King Ing.  :-) 3r,OTR,,,,,1257.2,3.831,3.97,,20:57.200,00:03.831
19,/user/178108,Greg Barnett(o),SDWasps,SOUTHBOROUGH (SDW) HORNETS,True,,,1257.3,4.007,4.09,,20:57.300,00:04.007
20,/user/177199,Julian Fussell sdw,SDW,SOUTHBOROUGH (SDW) HORNETS,True,,,1257.5,4.153,4.17,UK,20:57.500,00:04.153
21,/user/179862,Kester Dobson,,SOUTHBOROUGH (SDW) STINGERS,True,,,1257.5,4.199,3.75,,20:57.500,00:04.199
22,/user/171135,Tomasz Poniatowski [ṀṚ],ṀṚ,MOON RIDERS 1,True,,,1257.7,4.368,3.07,Poland,20:57.700,00:04.368
23,/user/229031,Kasper Hededam,eCKD(O),,,,,1258.5,5.171,4.73,Danmark,20:58.500,00:05.171
24,/user/189298,Rob Miller,WahooLeCol,,,,,1260.5,7.198,3.86,USA,21:00.500,00:07.198
25,/user/14162,Will Hutchins,WVRT,,,,,1260.8,7.439,4.1,,21:00.800,00:07.439
26,/user/140561,Shawn Murtough,,,,,,1261.7,8.42,3.89,,21:01.700,00:08.420
27,/user/134803,Steve Mayes (m),,,,,,1284.3,31.005,3.56,UK,21:24.300,00:31.005
28,/user/177844,Tom  Moss sdw,SDW,SOUTHBOROUGH (SDW) STINGERS,True,,,1287.7,34.351,4.11,UK,21:27.700,00:34.351
29,/user/69430,Matthew Hammond (m),,,,,,1290.0,36.675,4.58,,21:30.000,00:36.675
30,/user/273772,Terrence Harest,,,,,,1292.5,39.15,3.75,,21:32.500,00:39.150
31,/user/150787,Paul Hindson,,,,,,1304.8,51.521,3.77,,21:44.800,00:51.521
32,/user/267104,Simon  Hall [wvs],,WATFORD VELO SPORT RT,True,,,1306.5,53.135,4.57,,21:46.500,00:53.135
33,/user/61282,Daniel Neugebauer,Pedalers,,,,,1307.1,53.779,4.25,Deutschland,21:47.100,00:53.779
34,/user/270702,Stuart Gillies tcc,,TWICKENHAM CC,True,,,1307.2,53.868,3.45,,21:47.200,00:53.868
35,/user/249688,Pat Herron,,,,,,1307.3,53.985,4.23,UK,21:47.300,00:53.985
36,/user/127383,Tom Birch (m),,,,,,1307.8,54.477,3.55,,21:47.800,00:54.477
37,/user/126796,Simon Miller sdw,SDWasps,SOUTHBOROUGH (SDW) STINGERS,False,,,1307.8,54.49,3.74,UK,21:47.800,00:54.490
