pos,name,points
1,RASIO RACING,1129
2,TRANSATLANTIC RAIDERS,1090
3,PEDALERS,1030
4,TEAM SANZ,1015
5,GLASGOW UNITED CC,985
6,MOON RIDERS,958
7,TEAM POCOMOTION (BLIGHTY),926
8,WESTERLEY TWO,754
9,SOUTHBOROUGH (SDW) BEES,712
10,TEAM BTR,708
11,WESTERLEY ONE,689
12,TEAM CAMERON,467
13,TEAM POCOMOTION (VIKINGS),404
14,SOUTHBOROUGH (SDW) SKEETERS,389
15,WESTERLEY THREE,368
16,WESTERLEY FOUR,185
