pos,url,name,westerley points,race count
1,https://rgtdb.com/user/128814,Tim Cummins,58,3
2,https://rgtdb.com/user/70138,Andrew Beale,53,3
3,https://rgtdb.com/user/86973,David wcc Buckley wcc,50,3
4,https://rgtdb.com/user/65012,Dave Morrison,47,3
5,https://rgtdb.com/user/149081,Sam Doshi,41,3
6,https://rgtdb.com/user/241161,Weiran Shen,34,2
7,https://rgtdb.com/user/228324,Nic Lee,31,2
8,https://rgtdb.com/user/91958,Gt Thakkar,29,2
9,https://rgtdb.com/user/74342,Nic Stevenson,20,1
10,https://rgtdb.com/user/69166,Ian Nguru,17,1
11,https://rgtdb.com/user/221746,Tom Yates-ijaz,16,1
