pos,name,points
1,MOON RIDERS 1,1481
2,POCOMOTION,1305
3,RASIO RACING,1288
4,WATFORD VELO SPORT RT,1231
5,GLASGOW UNITED CC,1145
6,SOUTHBOROUGH (SDW) BEES,1034
7,SOUTHBOROUGH (SDW) STINGERS,885
8,SATELITE RIDERS,774
9,TWICKENHAM CC,765
10,WESTERLEY ONE,763
11,SOUTHBOROUGH (SDW) HORNETS,756
12,WESTERLEY TWO,551
13,TEAM CAMERON,397
14,TEAM SANZ,387
15,SMILE ON,283
16,TWICKENHAM CC LADIES,262
