pos,name,points
1,TEAM SANZ,192
2,RASIO RACING,184
3,TRANSATLANTIC RAIDERS,172
4,PEDALERS,165
5,MOON RIDERS,160
6,TEAM POCOMOTION (BLIGHTY),153
7,GLASGOW UNITED CC,153
8,SOUTHBOROUGH (SDW) BEES,118
9,WESTERLEY TWO,105
10,WESTERLEY ONE,89
11,WESTERLEY THREE,67
12,TEAM POCOMOTION (VIKINGS),62
13,SOUTHBOROUGH (SDW) SKEETERS,33
14,TEAM CAMERON,27
