team_name,points
TEAM SANZ,190
TRANSATLANTIC RAIDERS,187
PEDALERS,172
MOON RIDERS,169
RASIO RACING,169
GLASGOW UNITED CC,163
TEAM POCOMOTION (BLIGHTY),161
SOUTHBOROUGH (SDW) BEES,150
WESTERLEY ONE,139
WESTERLEY TWO,120
TEAM CAMERON,81
SOUTHBOROUGH (SDW) SKEETERS,62
WESTERLEY THREE,60
