pos,url,name,points,best
1,https://rgtdb.com/user/39166,Ned Bowen,562,1,6
2,https://rgtdb.com/user/160071,Wouter Claes,547,4,6
3,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,545,1,6
4,https://rgtdb.com/user/132783,Mathias  Bergkvist,541,2,6
5,https://rgtdb.com/user/35315,Mike Lister,528,3,6
6,https://rgtdb.com/user/79305,Carlos Cela,521,2,6
7,https://rgtdb.com/user/78811,Christophe Contant[pdl],519,7,6
8,https://rgtdb.com/user/79121,James Melville,518,2,6
9,https://rgtdb.com/user/17957,Tom Gakes [drft],498,1,6
10,https://rgtdb.com/user/193520,David Ellis (c) m,495,2,6
11,https://rgtdb.com/user/66009,Jurgen Janssens,485,5,6
12,https://rgtdb.com/user/61282,Daniel Neugebauer,483,13,6
13,https://rgtdb.com/user/141761,Alasdair Mcalpine,467,4,6
14,https://rgtdb.com/user/95553,J. Sammut (a),466,8,6
15,https://rgtdb.com/user/103369,Kader Allouni,460,1,6
16,https://rgtdb.com/user/143480,Mark Rowbottom яʀ,445,1,5
17,https://rgtdb.com/user/21747,Matthew Feely,429,15,6
18,https://rgtdb.com/user/129003,Andrzej Krajewski яʀ,427,5,5
19,https://rgtdb.com/user/56133,Peter Austin (bcc),409,26,6
20,https://rgtdb.com/user/6305,Mike Ade,407,4,6
21,https://rgtdb.com/user/178580,Timo Achenbach,387,29,6
22,https://rgtdb.com/user/126796,Simon Miller sdw,384,8,5
23,https://rgtdb.com/user/128814,Tim Cummins,368,28,6
24,https://rgtdb.com/user/67054,Johan Oelofse sanz,362,1,4
25,https://rgtdb.com/user/155757,"Jan Linden, vd",356,5,4
26,https://rgtdb.com/user/175441,Tomas Nygren,354,16,6
27,https://rgtdb.com/user/141031,Kevan Unsworth (m),349,11,6
28,https://rgtdb.com/user/112364,Stefan Kruger sanz,332,4,4
29,https://rgtdb.com/user/70138,Andrew Beale,331,36,6
30,https://rgtdb.com/user/86973,David wcc Buckley wcc,330,26,6
31,https://rgtdb.com/user/94990,Danie  Steyn sanz,317,11,4
32,https://rgtdb.com/user/171135,Tomasz (m) Poniatowski,315,15,5
33,https://rgtdb.com/user/175915,Kristen Ege,309,7,4
34,https://rgtdb.com/user/65012,Dave Morrison,302,37,6
35,https://rgtdb.com/user/171850,Eduardo Juez,293,19,4
36,https://rgtdb.com/user/148716,Stuart  Hardy [brt],284,4,4
37,https://rgtdb.com/user/137497,Jørgen Vanbers[яʀ]a,261,2,3
38,https://rgtdb.com/user/168564,Marcus Garwood (o),257,30,4
39,https://rgtdb.com/user/101319,Martin Wilson,252,24,5
