team_name,points
RASIO RACING,192
TRANSATLANTIC RAIDERS,173
TEAM POCOMOTION (BLIGHTY),164
PEDALERS,160
WESTERLEY ONE,142
TEAM SANZ,138
GLASGOW UNITED CC,136
MOON RIDERS,136
WESTERLEY TWO,131
TEAM POCOMOTION (VIKINGS),94
SOUTHBOROUGH (SDW) BEES,80
TEAM CAMERON,59
WESTERLEY THREE,0
