pos,name,points
1,MOON RIDERS 1,760
2,POCOMOTION,745
3,GLASGOW UNITED CC,698
4,WATFORD VELO SPORT RT,606
5,RASIO RACING,589
6,SOUTHBOROUGH (SDW) STINGERS,569
7,SOUTHBOROUGH (SDW) BEES,537
8,SOUTHBOROUGH (SDW) HORNETS,452
9,SATELITE RIDERS,433
10,WESTERLEY ONE,370
11,TEAM SANZ,295
12,TWICKENHAM CC,258
13,WESTERLEY TWO,254
14,TEAM CAMERON,126
15,TWICKENHAM CC LADIES,62
