pos,name,points
1,RASIO RACING,1870
2,TRANSATLANTIC RAIDERS,1792
3,GLASGOW UNITED CC,1685
4,TEAM SANZ,1684
5,PEDALERS,1577
6,MOON RIDERS,1526
7,WESTERLEY TWO,1313
8,TEAM POCOMOTION (BLIGHTY),1283
9,WESTERLEY ONE,1240
10,SOUTHBOROUGH (SDW) BEES,976
11,TEAM CAMERON,875
12,TEAM BTR,708
13,TEAM POCOMOTION (VIKINGS),481
14,WESTERLEY THREE,478
15,SOUTHBOROUGH (SDW) SKEETERS,389
16,WESTERLEY FOUR,325
