pos,name,points
1,GLASGOW UNITED CC,948
2,TEAM POCOMOTION,932
3,MOON RIDERS 1,878
4,WATFORD VELO SPORT RT,832
5,RASIO RACING,625
6,MOON RIDERS 2,606
7,WESTERLEY ONE,582
8,TEAM SANZ,387
9,WESTERLEY TWO,386
10,TEAM CAMERON,267
11,TWICKENHAM CC,194
