pos,name,points
1,MOON RIDERS 1,1290
2,POCOMOTION,1215
3,GLASGOW UNITED CC,1145
4,RASIO RACING,1095
5,WATFORD VELO SPORT RT,1067
6,SOUTHBOROUGH (SDW) BEES,1034
7,SOUTHBOROUGH (SDW) STINGERS,885
8,SOUTHBOROUGH (SDW) HORNETS,756
9,SATELITE RIDERS,676
10,WESTERLEY ONE,655
11,TWICKENHAM CC,608
12,WESTERLEY TWO,477
13,TEAM SANZ,387
14,TEAM CAMERON,337
15,SMILE ON,283
16,TWICKENHAM CC LADIES,207
