pos,name,points
1,MOON RIDERS 1,582
2,POCOMOTION,556
3,GLASGOW UNITED CC,523
4,WATFORD VELO SPORT RT,476
5,SOUTHBOROUGH (SDW) STINGERS,416
6,RASIO RACING,406
7,SATELITE RIDERS,324
8,TEAM SANZ,295
9,SOUTHBOROUGH (SDW) HORNETS,289
10,WESTERLEY ONE,276
11,SOUTHBOROUGH (SDW) BEES,241
12,WESTERLEY TWO,191
13,TWICKENHAM CC,143
14,TEAM CAMERON,126
