pos,name,points
1,POCOMOTION,1124
2,MOON RIDERS 1,1116
3,GLASGOW UNITED CC,976
4,RASIO RACING,939
5,SOUTHBOROUGH (SDW) BEES,894
6,WATFORD VELO SPORT RT,884
7,SOUTHBOROUGH (SDW) STINGERS,784
8,SOUTHBOROUGH (SDW) HORNETS,695
9,SATELITE RIDERS,621
10,WESTERLEY ONE,582
11,TWICKENHAM CC,470
12,TEAM SANZ,387
13,WESTERLEY TWO,386
14,TEAM CAMERON,267
15,TWICKENHAM CC LADIES,191
