pos,userurl,name,rgt_teamname,vr_teamname,team_qualifier,westerley_pos,ladies_points,time_secs,delta_secs,wkg,country,time_human,delta_human
50,/user/182446,Xavier Talenton,,,,,,1528.9,160.242,3.14,,25:28.900,02:40.242
51,/user/57107,Laan Ragnar(tcc),,,,,,1540.8,172.159,3.12,,25:40.800,02:52.159
52,/user/94149,James Dicks,,,,,,1558.1,189.445,4.44,,25:58.100,03:09.445
53,/user/186271,David Kent (d),,,,,,1560.1,191.425,3.3,,26:00.100,03:11.425
54,/user/262464,Thomas  Berthold ,,,,,,1560.2,191.563,3.55,,26:00.200,03:11.563
55,/user/165681,Judith Newton (w),,,,,,1560.8,192.14,3.79,,26:00.800,03:12.140
56,/user/143668,Stu Thorn,,,,,,1561.0,192.328,3.38,,26:01.000,03:12.328
57,/user/91958,Gt Thakkar,,WESTERLEY ONE,True,4,,1563.4,194.746,3.14,UK,26:03.400,03:14.746
58,/user/55374,Andrew Goff,ṀṚ,SATELITE RIDERS,True,,,1569.9,201.222,3.72,,26:09.900,03:21.222
59,/user/198978,Harry (arry) smits,,,,,,1582.1,213.388,4.05,,26:22.100,03:33.388
60,/user/301698,Gail Rob (tcc),,,,,,1582.2,213.53,4.21,,26:22.200,03:33.530
61,/user/159111,Witek Rzeszutek [ṀṚ],,,,,,1591.2,222.522,3.44,,26:31.200,03:42.522
62,/user/86973,David wcc Buckley wcc,,WESTERLEY ONE,False,5,,1594.0,225.304,3.05,UK,26:34.000,03:45.304
63,/user/295469,Jason Harding tcc,,,,,,1596.6,227.891,3.43,,26:36.600,03:47.891
64,/user/288515,Pieter Ver eecke,,,,,,1641.2,272.565,3.11,,27:21.200,04:32.565
65,/user/221770,Rafael Nunez,,,,,,1642.3,273.627,2.97,,27:22.300,04:33.627
66,/user/266085,Lo scalatore Dell'etna,,,,,,1644.4,275.753,3.65,,27:24.400,04:35.753
67,/user/123417,Mike Buckhurst,,,,,,1679.8,311.138,3.09,USA,27:59.800,05:11.138
68,/user/269264,Bik(er)win Le blanc (b),,,,,,1684.0,315.26800000000003,2.91,,28:04.000,05:15.268
69,/user/296820,Clint Heron,,,,,,1684.4,315.735,3.28,,28:04.400,05:15.735
70,/user/202732,Kara Bonneau,,,,,,1685.5,316.786,3.21,,28:05.500,05:16.786
71,/user/270667,Gri Pulga,,,,,100,1686.1,317.457,3.16,,28:06.100,05:17.457
72,/user/255577,Wendy Wonderweels-otr,OTR-keas,,,,99,1686.4,317.712,3.23,,28:06.400,05:17.712
73,/user/97222,Paulo Almeida,,,,,,1688.8,320.08299999999997,3.22,Portugal,28:08.800,05:20.083
74,/user/101319,Martin Wilson,,,,,,1696.4,327.765,2.99,UK,28:16.400,05:27.765
75,/user/132970,Lee Perry [art],,,,,,1700.0,331.301,2.98,,28:20.000,05:31.301
76,/user/164846,Al Dekerma (m),,,,,,1701.5,332.849,2.83,,28:21.500,05:32.849
77,/user/232622,Grant  Watson ,,,,,,1706.6,337.936,2.49,,28:26.600,05:37.936
78,/user/288668,Robert Blackburn [tcc],,TWICKENHAM CC,True,,,1709.7,341.052,3.06,,28:29.700,05:41.052
79,/user/278058,Claire  Miller (tcc),,TWICKENHAM CC LADIES,True,,92,1718.7,350.032,3.64,,28:38.700,05:50.032
80,/user/288803,Robg Robg,,,,,,1739.6,370.923,3.01,,28:59.600,06:10.923
81,/user/239903,Miguel Silva(o),,,,,,1848.5,479.837,2.52,,30:48.500,07:59.837
82,/user/289203,Rick Van der laan,,,,,,1908.6,539.955,2.4,,31:48.600,08:59.955
83,/user/77406,Pj Tcc,,,,,,1920.1,551.394,2.38,,32:00.100,09:11.394
84,/user/43482,Coco Maisie,,,,,,1920.3,551.645,2.01,,32:00.300,09:11.645
85,/user/66324,Gavin Grant tcc,,TWICKENHAM CC,False,,,1923.0,554.278,2.1,,32:03.000,09:14.278
86,/user/95813,Lisa West tcc,,TWICKENHAM CC LADIES,True,,85,1923.5,554.817,2.13,,32:03.500,09:14.817
87,/user/305101,Michael Grünwald,,,,,,1941.3,572.573,2.06,,32:21.300,09:32.573
88,/user/298310,Ricardo Morais,,,,,,1964.6,595.879,2.27,,32:44.600,09:55.879
89,/user/291095,Wright Jessica ,,,,,,2077.2,708.53,2.16,,34:37.200,11:48.530
90,/user/3964,L.  rowland (tcc),,TWICKENHAM CC LADIES,False,,81,2207.2,838.502,1.75,,36:47.200,13:58.502
91,/user/241536,Lynda Lynda v,OTR,,,,80,2424.7,1056.012,2.12,,40:24.700,17:36.012
92,/user/306050,Richard Kilpin,,,,,,2549.3,1180.626,1.37,,42:29.300,19:40.626
,/user/193726,Manuel  Morales,,,,,,,,,,,
,,Borkovitz Borko,,,,,,,,,,,
,,Miriam  Martin,,,,,,,,,,,
,/user/219215,Kaustav Bhattacharya,,,,,,,,,,,
,/user/15530,Craig Gregario,,,,,,,,,,,
,/user/191330,Anders Jönsson [rgtswe],RGTSWE,,,,,,,,,,
,/user/74342,Nic Stevenson,,,,6,,,,,UK,,
,/user/256908,João Pinho (m),,,,,,,,,,,
,/user/267097,Darryl Green - wvs,,WATFORD VELO SPORT RT,False,,,,,,,,
,/user/267995,Aleksandar Garaca,,,,,,,,,,,
,/user/283363,Mattias Lundqvist [rgtswe],RGTSWE,,,,,,,,,,
,/user/235577,Ron Noors,,,,,,,,,,,
,/user/18064,Francisco Zapata,,,,,,,,,,,
,/user/304990,Luís Andrade,,,,,,,,,,,
,/user/138802,David Thomas,,,,,,,,,UK,,
,/user/272020,Mark Mcpartland,,,,,,,,,,,
,/user/163334,Anthony Lee,,,,,,,,,,,
,/user/200597,Asbjørn May,,,,,,,,,Danmark,,
,/user/192296,Christophe Mathieu,,,,,,,,,,,
,/user/221746,Tom Yates-ijaz,,WESTERLEY TWO,False,7,,,,,UK,,
,/user/274579,Jonathan Frost [tcc],,TWICKENHAM CC,False,,,,,,,,
,/user/292797,Christian Ehart,,,,,,,,,,,
,,Steffen Furholm,,,,,,,,,,,
,/user/302269,Rainer Flurschadentreter,,,,,,,,,,,
,/user/7943,James Jones,,,,,,,,,,,
