pos,userurl,name,rgt_teamname,vr_teamname,team_qualifier,westerley_pos,ladies_points,time_secs,delta_secs,wkg,country,time_human,delta_human
1,/user/225601,Rasmus  Feldballe(m),eCKD(GP),,,,,1368.7,0.0,5.02,Danmark,22:48.700,00:00.000
2,/user/95553,John Sammut (a),Pocomotion,POCOMOTION,True,,,1370.2,1.487,4.22,UK,22:50.200,00:01.487
3,/user/126963,Miles Askew [ṀṚ],ṀṚ,MOON RIDERS 1,True,,,1371.1,2.429,4.6,,22:51.100,00:02.429
4,/user/134948,Nick Greenhalgh [ЯƦ] c,яʀ,RASIO RACING,True,1,,1371.5,2.811,4.31,UK,22:51.500,00:02.811
5,/user/17957,Tom Gakes,[D],,,,,1371.6,2.935,3.89,Netherlands,22:51.600,00:02.935
6,/user/198726,Mario  Cavelius,,,,,,1371.8,3.067,4.01,,22:51.800,00:03.067
7,/user/270710,Jack Samways[wvs],,WATFORD VELO SPORT RT,True,,,1371.8,3.105,4.47,,22:51.800,00:03.105
8,/user/39166,Ned Bowen,[D],,,,,1371.9,3.252,4.29,USA,22:51.900,00:03.252
9,/user/621,Jared Millar b,,,,,,1372.1,3.441,4.6,,22:52.100,00:03.441
10,/user/79121,James Melville,,GLASGOW UNITED CC,True,,,1372.2,3.496,4.35,UK,22:52.200,00:03.496
11,/user/195523,—- Gav ash tmc,ddrt,,,,,1372.2,3.504,4.39,,22:52.200,00:03.504
12,/user/155757,Jan Linden poco,Pocomotion,POCOMOTION,True,,,1372.5,3.82,4.13,Netherlands,22:52.500,00:03.820
13,/user/160071,Wouter Claes,ṀṚ,MOON RIDERS 1,True,,,1372.9,4.212,4.14,Belgium,22:52.900,00:04.212
14,/user/197121,Chris Jones [ddrt],ddrt,,,,,1372.9,4.253,3.51,,22:52.900,00:04.253
15,/user/132783,Mathias  Bergkvist,,,,,,1373.0,4.286,4.06,Sweden,22:53.000,00:04.286
16,/user/256517,Roger Hughes poco,Pocomotion,,,,,1373.9,5.23,4.19,,22:53.900,00:05.230
17,/user/188139,Per Soderberg ,OT,,,,,1376.3,7.604,3.74,,22:56.300,00:07.604
18,/user/141761,Alasdair Mcalpine,,GLASGOW UNITED CC,True,,,1381.9,13.224,4.87,UK,23:01.900,00:13.224
19,/user/143480,Mark Rowbottom яʀ,яʀ,RASIO RACING,True,,,1390.7,22.059,4.35,UK,23:10.700,00:22.059
20,/user/175915,Kristen Ege poco,Pocomotion,,,,,1399.4,30.723,3.8,Danmark,23:19.400,00:30.723
21,/user/134803,Steve Mayes (m),,,,,,1420.8,52.091,3.45,UK,23:40.800,00:52.091
22,/user/185830,James Currie sdw b,SDW,SOUTHBOROUGH (SDW) BEES,True,,,1421.7,53.044,3.48,,23:41.700,00:53.044
23,/user/274421,Louis Francis [wvs],,,,,,1421.9,53.254,3.86,,23:41.900,00:53.254
24,/user/267104,Simon  Hall [wvs],,WATFORD VELO SPORT RT,True,,,1422.2,53.555,4.53,,23:42.200,00:53.555
25,/user/171135,Tomasz Poniatowski [ṀṚ],ṀṚ,MOON RIDERS 1,False,,,1422.3,53.601,3.08,Poland,23:42.300,00:53.601
26,/user/56133,Peter Austin otr c,OT,,,,,1422.5,53.833,4.03,UK,23:42.500,00:53.833
27,/user/128814,Tim Cummins,,WESTERLEY ONE,True,2,,1422.8,54.095,4.21,UK,23:42.800,00:54.095
28,/user/6051,Mitch Ide,,,,,,1422.8,54.103,4.62,,23:42.800,00:54.103
29,/user/254894,A. Ussie king.  :-) 3r,3R-TLR,,,,,1422.9,54.252,3.9,,23:42.900,00:54.252
30,/user/150787,Paul Hindson,,,,,,1423.1,54.465,3.79,,23:43.100,00:54.465
31,/user/177199,Julian Fussell sdw,SDW,SOUTHBOROUGH (SDW) HORNETS,True,,,1423.8,55.132,3.99,UK,23:43.800,00:55.132
32,/user/270702,Stuart Gillies tcc,,TWICKENHAM CC,True,,,1426.7,58.034,3.63,,23:46.700,00:58.034
33,/user/126796,Simon Miller sdw,SDWasps,SOUTHBOROUGH (SDW) BEES,True,,,1426.8,58.068,3.67,UK,23:46.800,00:58.068
34,/user/42607,Brian Vince [wvs],,WATFORD VELO SPORT RT,False,,,1428.5,59.791,4.11,,23:48.500,00:59.791
35,/user/264752,Luc Van reeth c,,,,,,1428.6,59.958,4.07,,23:48.600,00:59.958
36,/user/31157,Ben Lowe (tcc),,,,,,1428.7,59.981,3.7,,23:48.700,00:59.981
37,/user/70138,Andrew Beale c,,WESTERLEY TWO,True,3,,1431.2,62.555,3.56,UK,23:51.200,01:02.555
38,/user/21747,Matthew Feely,,,,,,1438.3,69.66499999999999,3.74,Eire,23:58.300,01:09.665
39,/user/189298,Rob Miller (3r),3R,,,,,1441.2,72.557,3.68,USA,24:01.200,01:12.557
40,/user/264656,Alberto Faustino,,,,,,1460.9,92.193,4.78,,24:20.900,01:32.193
41,/user/6305,Mike Ade,OTR Osprey,,,,,1491.7,123.002,3.68,UK,24:51.700,02:03.002
42,/user/79305,Carlos Cela,,,,,,1492.4,123.676,4.01,Espana,24:52.400,02:03.676
43,/user/249688,Pat Herron,,,,,,1497.8,129.107,3.88,UK,24:57.800,02:09.107
44,/user/96645,Marcin Szkudlarek [ṀṚ],ṀṚ,SATELITE RIDERS,True,,,1499.5,130.847,3.64,Poland,24:59.500,02:10.847
45,/user/273772,Terrence Harest,,,,,,1499.5,130.856,3.71,,24:59.500,02:10.856
46,/user/170063,Marco Verhoogt (b),,,,,,1499.7,131.015,3.78,Netherlands,24:59.700,02:11.015
47,/user/243207,Ian Sudds ,,,,,,1501.2,132.494,3.6,,25:01.200,02:12.494
48,/user/14162,Will Hutchins,WVRT,,,,,1501.6,132.903,3.65,,25:01.600,02:12.903
49,/user/232488,Scott  Crichton ,,,,,,1508.6,139.867,3.22,Australia,25:08.600,02:19.867
