pos,name,points
1,MOON RIDERS 1,1667
2,POCOMOTION,1493
3,RASIO RACING,1467
4,WATFORD VELO SPORT RT,1402
5,GLASGOW UNITED CC,1319
6,SOUTHBOROUGH (SDW) BEES,1181
7,SOUTHBOROUGH (SDW) STINGERS,885
8,WESTERLEY ONE,881
9,SATELITE RIDERS,874
10,TWICKENHAM CC,857
11,SOUTHBOROUGH (SDW) HORNETS,826
12,WESTERLEY TWO,615
13,TEAM CAMERON,397
14,TEAM SANZ,387
15,TWICKENHAM CC LADIES,299
16,SMILE ON,283
