pos,name,points
1,MOON RIDERS 1,388
2,POCOMOTION,362
3,GLASGOW UNITED CC,355
4,RASIO RACING,348
5,WATFORD VELO SPORT RT,314
6,TEAM SANZ,295
7,SOUTHBOROUGH (SDW) STINGERS,274
8,SATELITE RIDERS,236
9,SOUTHBOROUGH (SDW) HORNETS,216
10,WESTERLEY ONE,196
11,SOUTHBOROUGH (SDW) BEES,160
12,WESTERLEY TWO,130
13,TEAM CAMERON,126
14,TWICKENHAM CC,53
