pos,url,name,westerley points,race count
1,https://rgtdb.com/user/86973,David wcc Buckley wcc,90,5
2,https://rgtdb.com/user/91958,Gt Thakkar,89,5
3,https://rgtdb.com/user/70138,Andrew Beale c,79,4
4,https://rgtdb.com/user/128814,Tim Cummins,66,4
5,https://rgtdb.com/user/69166,Ian Nguru,35,2
6,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,20,4
7,https://rgtdb.com/user/228324,Nic Lee,19,1
8,https://rgtdb.com/user/65012,Dave Morrison,17,1
9,https://rgtdb.com/user/221746,Tom Yates-ijaz,16,1
10,https://rgtdb.com/user/241161,Weiran Shen wcc,13,1
