pos,name,points
1,RASIO RACING,2061
2,TEAM SANZ,1875
3,GLASGOW UNITED CC,1871
4,TRANSATLANTIC RAIDERS,1869
5,MOON RIDERS,1702
6,PEDALERS,1661
7,WESTERLEY TWO,1451
8,WESTERLEY ONE,1390
9,TEAM POCOMOTION (BLIGHTY),1382
10,TEAM CAMERON,1015
11,SOUTHBOROUGH (SDW) BEES,976
12,TEAM BTR,708
13,WESTERLEY THREE,540
14,TEAM POCOMOTION (VIKINGS),481
15,SOUTHBOROUGH (SDW) SKEETERS,389
16,WESTERLEY FOUR,389
