pos,name,points
1,RASIO RACING,1288
2,TRANSATLANTIC RAIDERS,1276
3,TEAM SANZ,1204
4,GLASGOW UNITED CC,1164
5,MOON RIDERS,1123
6,PEDALERS,1088
7,TEAM POCOMOTION (BLIGHTY),1017
8,WESTERLEY TWO,873
9,WESTERLEY ONE,831
10,SOUTHBOROUGH (SDW) BEES,799
11,TEAM CAMERON,633
12,WESTERLEY THREE,428
13,TEAM POCOMOTION (VIKINGS),404
14,SOUTHBOROUGH (SDW) SKEETERS,193
