pos,name,points
1,POCOMOTION,932
2,MOON RIDERS 1,921
3,GLASGOW UNITED CC,865
4,RASIO RACING,768
5,WATFORD VELO SPORT RT,756
6,SOUTHBOROUGH (SDW) STINGERS,705
7,SOUTHBOROUGH (SDW) BEES,679
8,SOUTHBOROUGH (SDW) HORNETS,615
9,SATELITE RIDERS,490
10,WESTERLEY ONE,466
11,TWICKENHAM CC,360
12,WESTERLEY TWO,316
13,TEAM SANZ,295
14,TEAM CAMERON,194
15,TWICKENHAM CC LADIES,129
