pos,url,name,westerley points,race count
1,https://rgtdb.com/user/91958,Gt Thakkar,72,4
2,https://rgtdb.com/user/86973,David wcc Buckley wcc,72,4
3,https://rgtdb.com/user/70138,Andrew Beale c,60,3
4,https://rgtdb.com/user/128814,Tim Cummins,50,3
5,https://rgtdb.com/user/69166,Ian Nguru,35,2
6,https://rgtdb.com/user/228324,Nic Lee,19,1
7,https://rgtdb.com/user/65012,Dave Morrison,17,1
8,https://rgtdb.com/user/221746,Tom Yates-ijaz,16,1
9,https://rgtdb.com/user/241161,Weiran Shen wcc,13,1
