team_name,points
TRANSATLANTIC RAIDERS,193
RASIO RACING,186
PEDALERS,175
MOON RIDERS,164
TEAM SANZ,163
TEAM POCOMOTION (BLIGHTY),162
GLASGOW UNITED CC,154
WESTERLEY TWO,147
WESTERLEY THREE,128
WESTERLEY ONE,118
TEAM CAMERON,90
SOUTHBOROUGH (SDW) BEES,71
SOUTHBOROUGH (SDW) SKEETERS,64
