pos,name,points
1,MOON RIDERS 1,2036
2,POCOMOTION,1878
3,RASIO RACING,1826
4,WATFORD VELO SPORT RT,1714
5,GLASGOW UNITED CC,1622
6,SOUTHBOROUGH (SDW) BEES,1181
7,WESTERLEY ONE,1129
8,TWICKENHAM CC,1077
9,SOUTHBOROUGH (SDW) STINGERS,1032
10,SATELITE RIDERS,998
11,SOUTHBOROUGH (SDW) HORNETS,875
12,WESTERLEY TWO,752
13,TEAM CAMERON,537
14,TWICKENHAM CC LADIES,428
15,TEAM SANZ,387
16,SMILE ON,283
