pos,userurl,name,rgt_teamname,vr_teamname,time_secs,delta_secs,wkg
81,/user/123242,Hendrik Erkamp,,,1534.1,333.624,2.64
82,/user/149081,Sam Doshi,,,1555.6,355.207,2.98
83,/user/62564,Paulo Duarte,,,1574.9,374.454,2.32
84,/user/121915,Emanuel Águas,,,1589.0,388.582,2.88
85,/user/173992,Milan  Guzijan,,,1595.7,395.259,2.9
86,/user/102657,Island Arnaud,,,1701.9,501.509,2.55
87,/user/228324,Nic Lee,,WESTERLEY TWO,1711.3,510.823,2.07
,/user/88613,Jerry Ball,,,,,
,/user/43482,Coco Maisie,,,,,
,/user/150787,Paul Hindson (c),,,,,
,/user/221746,Tom Yates-ijaz,,,,,
,,Nigel Davies,,,,,
,,Vince Dey,,,,,
,/user/206451,Lee Desbo50 (c),,,,,
,,Fred  Tebbenham,,,,,
,/user/238202,Funs Steinhage,,,,,
,/user/91007,Dlnr Joeri,,,,,
,/user/105662,Deniz S.l.,,,,,
,/user/236782,Florent Tegh[rgt fr],RGT France,,,,
,,Jeunesse S.a.cyclisme,,,,,
,/user/205373,Colin  Campbell (d),,,,,
,/user/107594,Grant Skeeters,SDW,,,,
,/user/74342,Nic Stevenson,,WESTERLEY ONE,,,
,,Simon-pierre Puech,,,,,
,/user/86836,Rob Bennett,,WESTERLEY THREE,,,
,,Malcolm Woolsey,,,,,
,,Jason Harmer,,,,,
,/user/42150,Neil Walker (b),,,,,
,/user/71830,Kevin Moore,,,,,
,/user/200744,Jason Goldbe-hippo,,,,,
,/user/6475,Ryan Deadpool-tfc,,,,,
,/user/152211,Taxi Driver,,,,,
