pos,name,points
1,RASIO RACING,380
2,TEAM SANZ,356
3,TRANSATLANTIC RAIDERS,346
4,GLASGOW UNITED CC,336
5,MOON RIDERS,326
6,PEDALERS,322
7,TEAM POCOMOTION (BLIGHTY),293
8,SOUTHBOROUGH (SDW) BEES,248
9,WESTERLEY TWO,217
10,WESTERLEY ONE,175
11,TEAM POCOMOTION (VIKINGS),125
12,TEAM CAMERON,115
13,WESTERLEY THREE,95
14,SOUTHBOROUGH (SDW) SKEETERS,67
