pos,name,points
1,MOON RIDERS 1,2422
2,POCOMOTION,2252
3,RASIO RACING,2182
4,WATFORD VELO SPORT RT,1956
5,GLASGOW UNITED CC,1955
6,WESTERLEY ONE,1386
7,TWICKENHAM CC,1285
8,SOUTHBOROUGH (SDW) BEES,1259
9,SATELITE RIDERS,1179
10,SOUTHBOROUGH (SDW) STINGERS,1104
11,SOUTHBOROUGH (SDW) HORNETS,944
12,WESTERLEY TWO,937
13,TEAM CAMERON,606
14,TWICKENHAM CC LADIES,600
15,TEAM SANZ,460
16,SMILE ON,283
