pos,userurl,name,rgt_teamname,vr_teamname,team_qualifier,westerley_pos,time_secs,delta_secs,wkg
1,/user/79121,James Melville,,GLASGOW UNITED CC,True,,1296.8,0.0,4.06
2,/user/152761,Get Zwifty,,,,,1296.8,0.0,3.98
3,/user/129551,Igor Kopse,,,,,1296.8,0.0,3.86
4,/user/39166,Ned Bowen,,TRANSATLANTIC RAIDERS,True,,1297.0,0.2,3.9
5,/user/64238,Guillaume Toffoli,RGT France,,,,1297.0,0.2,3.95
6,/user/160071,Wouter Claes,MoonRiders,MOON RIDERS,True,,1297.0,0.2,4.1
7,/user/134948,Nick Greenhalghяʀ,яʀ,RASIO RACING,True,1,1297.0,0.2,4.45
8,/user/132783,Mathias  Bergkvist,,,,,1297.0,0.2,4.11
9,/user/84367,Doug Hart icc,ICC,,,,1297.4,0.6,4.33
10,/user/32313,Alex Pleger [яʀ],яʀ,,,,1297.6,0.8,3.92
11,/user/129003,Andrzej Krajewski яʀ,яʀ,RASIO RACING,True,,1297.6,0.8,4.08
12,/user/35315,Mike Lister,DIRT,TRANSATLANTIC RAIDERS,True,,1298.8,2.001,4.03
13,/user/61282,Daniel Neugebauer,Pedalers,PEDALERS,True,,1298.8,2.001,4.12
14,/user/189298,Rob Miller,Ibex,,,,1298.8,2.001,3.34
15,/user/143480,Mark Rowbottom яʀ,яʀ,RASIO RACING,False,,1298.8,2.001,4.35
16,/user/131830,Boz Daley ,,,,,1298.8,2.001,4.23
17,/user/254894,King Ing_smileon,,,,,1299.0,2.201,4.21
18,/user/141761,Alasdair Mcalpine,,GLASGOW UNITED CC,True,,1299.0,2.201,4.42
19,/user/95553,J. Sammut (a),,TEAM POCOMOTION (BLIGHTY),True,,1299.0,2.201,3.86
20,/user/155757,"Jan Linden, vd",,,,,1299.2,2.401,4.18
21,/user/189396,Mads Klinksgaard,,,,,1300.0,3.202,4.35
22,/user/56133,Peter Austin (m),,,,,1314.2,17.41,4.08
23,/user/137497,Jørgen Vanbers[яʀ],яʀ,,,,1314.2,17.41,3.95
24,/user/175915,Kristen Ege,,TEAM POCOMOTION (VIKINGS),True,,1317.8,21.012,3.44
25,/user/35301,Marco Santos,,,,,1330.8,34.021,4.33
26,/user/134803,Steve Mayes (m),,,,,1333.6,36.825,3.39
27,/user/193520,David Ellis (c) m,,,,,1350.0,53.241,3.27
28,/user/141031,Kevan Unsworth (m),,TEAM CAMERON,True,,1350.4,53.641,2.88
29,/user/112364,Stefan Kruger sanz,,TEAM SANZ,True,,1353.8,57.043,4.11
30,/user/256908,João Pinho,,,,,1355.0,58.244,3.78
31,/user/133919,Jonas Victorin,,,,,1355.0,58.244,4.23
32,/user/70138,Andrew Beale c,,WESTERLEY TWO,True,2,1360.4,63.647,3.66
33,/user/6305,Mike Ade otr,,,,,1380.2,83.457,3.35
34,/user/86973,David wcc Buckley wcc,,WESTERLEY ONE,True,3,1397.4,100.667,3.2
35,/user/171135,Tomasz Poniatowski,MoonRiders,MOON RIDERS,True,,1397.4,100.667,2.71
36,/user/44624,Stenström Patrik,,,,,1397.4,100.667,3.28
37,/user/195632,Olly Olly,,,,,1397.8,101.06700000000001,3.33
38,/user/101319,Martin Wilson,,,,,1398.0,101.267,3.24
39,/user/240429,Thomas Otolekoala,,,,,1398.0,101.267,3.32
40,/user/94149,James Dicks,,,,,1399.8,103.068,4.25
41,/user/175441,Tomas Nygren,,,,,1452.9,156.123,2.92
42,/user/128814,Tim Cummins,,WESTERLEY TWO,True,4,1454.7,157.924,3.48
43,/user/196997,Erik Nylin,,,,,1481.3,184.54,2.69
44,/user/116935,Ángel Maestro ,,,,,1498.5,201.757,3.13
45,/user/78574,Stephen Bellio otr,,,,,1498.7,201.957,3.03
46,/user/59104,Yahya Öksüzoglu,,,,,1499.1,202.357,3.41
47,/user/65012,Dave Morrison,,WESTERLEY ONE,True,5,1515.5,218.766,3.26
48,/user/228687,Koen Feys,,,,,1537.3,240.581,3.61
49,/user/235787,Stepan Lee,,,,,1538.3,241.581,3.02
50,/user/249688,Pat Herron,,,,,1538.9,242.181,3.66
51,/user/91958,Gt Thakkar,,WESTERLEY THREE,True,6,1540.1,243.382,2.8
52,/user/254015,Ye Yuan,,,,,1547.1,250.386,3.9
53,/user/162587,Pedro Reis,,,,,1557.0,260.196,3.31
54,/user/254310,Thomas  Christensen ,,,,,1574.2,277.407,2.62
55,/user/79305,Carlos Cela,,,,,1598.2,301.421,3.91
56,/user/180867,Steve Millward tfc,,,,,1600.6,303.822,2.38
57,/user/142487,C..... Arlos,,,,,1704.6,407.884,3.17
58,/user/67054,Johan Oelofse sanz,,TEAM SANZ,True,,2002.0,705.269,2.67
59,/user/254209, Barn doors,,,,,2074.3,777.515,1.66
