pos,name,points
1,MOON RIDERS 1,197
2,RASIO RACING,185
3,POCOMOTION,178
4,GLASGOW UNITED CC,174
5,WATFORD VELO SPORT RT,156
6,SOUTHBOROUGH (SDW) HORNETS,152
7,SATELITE RIDERS,141
8,TEAM SANZ,140
9,WESTERLEY TWO,130
10,SOUTHBOROUGH (SDW) STINGERS,127
11,TEAM CAMERON,126
12,WESTERLEY ONE,100
13,SOUTHBOROUGH (SDW) BEES,99
