pos,name,points
1,RASIO RACING,380
2,TEAM SANZ,356
3,TRANSATLANTIC RAIDERS,346
4,GLASGOW UNITED CC,336
5,PEDALERS,333
6,MOON RIDERS,326
7,TEAM POCOMOTION (BLIGHTY),293
8,SOUTHBOROUGH (SDW) BEES,248
9,WESTERLEY TWO,217
10,TEAM BTR,190
11,SOUTHBOROUGH (SDW) SKEETERS,177
12,WESTERLEY ONE,175
13,TEAM POCOMOTION (VIKINGS),125
14,TEAM CAMERON,115
15,WESTERLEY THREE,95
16,WESTERLEY FOUR,88
