pos,name,points
1,RASIO RACING,1499
2,TRANSATLANTIC RAIDERS,1434
3,PEDALERS,1395
4,TEAM SANZ,1385
5,GLASGOW UNITED CC,1336
6,MOON RIDERS,1197
7,TEAM POCOMOTION (BLIGHTY),1114
8,WESTERLEY TWO,1037
9,WESTERLEY ONE,982
10,SOUTHBOROUGH (SDW) BEES,976
11,TEAM CAMERON,712
12,TEAM BTR,708
13,WESTERLEY THREE,428
14,TEAM POCOMOTION (VIKINGS),404
15,SOUTHBOROUGH (SDW) SKEETERS,389
16,WESTERLEY FOUR,256
