pos,userurl,name,rgt_teamname,vr_teamname,team_qualifier,westerley_pos,ladies_points,time_secs,delta_secs,wkg,country,time_human,delta_human
1,/user/311110,Borut Grauf,,,,,,1359.4,0.0,3.99,,22:39.400,00:00.000
2,/user/160071,Wouter Claes ṀṚ,ṀṚ,MOON RIDERS 1,True,,,1361.3,1.931,4.36,Belgium,22:41.300,00:01.931
3,/user/129551,Igor Kopse,VirtuSlo,,,,,1361.6,2.156,4.73,,22:41.600,00:02.156
4,/user/17957,Tom Gakes [d],[D],,,,,1361.7,2.306,3.89,Netherlands,22:41.700,00:02.306
5,/user/134948,Nick Greenhalgh [ЯƦ] ,яʀ,RASIO RACING,True,1,,1362.3,2.872,4.26,UK,22:42.300,00:02.872
6,/user/103369,Kader Allouni poco,Pocomotion,POCOMOTION,True,,,1362.3,2.889,4.06,UK,22:42.300,00:02.889
7,/user/126963,Miles Askew [ṀṚ],ṀṚ,MOON RIDERS 1,True,,,1362.4,2.937,4.62,,22:42.400,00:02.937
8,/user/621,Jared Millar c,,,,,,1362.4,2.941,4.43,,22:42.400,00:02.941
9,/user/182809,Robert Jenko,Pedalers,,,,,1362.4,3.002,4.04,,22:42.400,00:03.002
10,/user/84367,Doug Hart         [pdl],Pedalers,,,,,1362.6,3.154,4.31,,22:42.600,00:03.154
11,/user/155757,Jan Linden poco,Pocomotion,POCOMOTION,True,,,1362.6,3.167,4.3,Netherlands,22:42.600,00:03.167
12,/user/79121,James Melville,,GLASGOW UNITED CC,True,,,1362.6,3.218,4.38,UK,22:42.600,00:03.218
13,/user/39166,Ned Bowen,[D],,,,,1362.8,3.421,4.19,USA,22:42.800,00:03.421
14,/user/218148,Matthias Leten,,,,,,1363.0,3.603,5.12,,22:43.000,00:03.603
15,/user/95553,John Sammut (a),Pocomotion,POCOMOTION,False,,,1363.6,4.148,3.89,UK,22:43.600,00:04.148
16,/user/137497,Jørgen Vanbers[яʀ],яʀ,RASIO RACING,True,,,1364.7,5.27,4.22,Netherlands,22:44.700,00:05.270
17,/user/79305,Carlos Cela,,,,,,1364.8,5.369,4.18,Espana,22:44.800,00:05.369
18,/user/141761,Alasdair Mcalpine,,GLASGOW UNITED CC,True,,,1364.8,5.39,5.05,UK,22:44.800,00:05.390
19,/user/229031,Kasper Hededam,eCKD(GP),,,,,1364.8,5.409,4.7,Danmark,22:44.800,00:05.409
20,/user/174963,Christian  Okulla poco,Pocomotion,,,,,1364.9,5.464,4.82,,22:44.900,00:05.464
21,/user/171135,Tomasz Poniatowski [ṀṚ],ṀṚ,MOON RIDERS 1,False,,,1365.0,5.561,3.27,Poland,22:45.000,00:05.561
22,/user/256517,Roger Hughes poco,Pocomotion,,,,,1365.2,5.814,4.3,,22:45.200,00:05.814
23,/user/283363,Mattias Lundqvist [rgtswe],RGTSWE,,,,,1365.5,6.041,4.81,,22:45.500,00:06.041
24,/user/128814,Tim Cummins,,WESTERLEY ONE,True,2,,1365.8,6.369,4.27,UK,22:45.800,00:06.369
25,/user/270702,Stuart Gillies tcc,,TWICKENHAM CC,True,,,1366.6,7.167,3.64,,22:46.600,00:07.167
26,/user/267104,Simon  Hall [wvs],,WATFORD VELO SPORT RT,True,,,1368.9,9.493,4.73,,22:48.900,00:09.493
27,/user/36792,Francois Iker [ṀṚ],ṀṚ,,,,,1369.0,9.621,4.49,Belgium,22:49.000,00:09.621
28,/user/67054,Johan Oelofse sanz,,TEAM SANZ,True,,,1370.5,11.109,4.13,New Zealand,22:50.500,00:11.109
29,/user/177844,Tom  Moss ,SDW,SOUTHBOROUGH (SDW) STINGERS,True,,,1371.0,11.547,4.29,UK,22:51.000,00:11.547
30,/user/261662,Rocket Roy nield [otr](c),OT,,,,,1371.0,11.576,4.51,,22:51.000,00:11.576
31,/user/150787,Paul Hindson,,,,,,1371.3,11.882,3.88,,22:51.300,00:11.882
32,/user/177199,Julian Fussell sdw,SDW,SOUTHBOROUGH (SDW) HORNETS,True,,,1384.2,24.761,4.09,UK,23:04.200,00:24.761
33,/user/198726,Mario  Cavelius [ЯƦ],яʀ,,,,,1421.0,61.596000000000004,3.84,,23:41.000,01:01.596
34,/user/108193,Stevie Couper,,,,,,1421.2,61.812,4.26,,23:41.200,01:01.812
35,/user/249688,Pat Herron,,,,,,1422.0,62.561,4.27,UK,23:42.000,01:02.561
36,/user/94149,James Dicks,,,,,,1423.2,63.772,4.62,,23:43.200,01:03.772
37,/user/196524,Mike Wareham [ṀṚ],ṀṚ,,,,,1451.1,91.713,3.27,,24:11.100,01:31.713
38,/user/70138,Andrew Beale c,We,WESTERLEY TWO,True,3,,1461.7,102.24199999999999,3.41,UK,24:21.700,01:42.242
39,/user/66828,Even Oistensen (3r) ,3R,,,,,1467.2,107.83,3.72,,24:27.200,01:47.830
40,/user/129003,Andrzej Krajewski ЯƦ,яʀ,,,,,1467.6,108.22399999999999,3.75,Poland,24:27.600,01:48.224
41,/user/234363,Nicki Haugaard (b),eCKD(S),,,,,1469.3,109.842,3.29,,24:29.300,01:49.842
42,/user/293466,Ingmar Van bers [яʀ],Ra,,,,,1493.7,134.277,4.01,,24:53.700,02:14.277
43,/user/93030,Jacek Rorbach,,,,,,1494.4,134.976,3.55,,24:54.400,02:14.976
44,/user/243207,Ian Sudds ,,,,,,1504.4,144.987,3.64,,25:04.400,02:24.987
45,/user/189782,Anna Ronkainen,xXx,,,,100,1504.4,145.002,2.93,,25:04.400,02:25.002
46,/user/170063,Marco Verhoogt (b),,,,,,1504.7,145.329,3.78,Netherlands,25:04.700,02:25.329
47,/user/86973,David wcc Buckley wcc,,WESTERLEY ONE,True,4,,1533.9,174.448,3.1,UK,25:33.900,02:54.448
48,/user/186271,David Kent (d),,,,,,1534.3,174.914,3.43,,25:34.300,02:54.914
49,/user/96645,Marcin Szkudlarek [ṀṚ],ṀṚ,SATELITE RIDERS,True,,,1534.5,175.106,3.69,Poland,25:34.500,02:55.106
