pos,url,name,points,best
1,https://rgtdb.com/user/39166,Ned Bowen,373,1,4
2,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,373,1,4
3,https://rgtdb.com/user/132783,Mathias  Bergkvist,362,2,4
4,https://rgtdb.com/user/79121,James Melville,357,2,4
5,https://rgtdb.com/user/143480,Mark Rowbottom яʀ,356,1,4
6,https://rgtdb.com/user/160071,Wouter Claes,354,5,4
7,https://rgtdb.com/user/78811,Christophe Contant[pdl],345,7,4
8,https://rgtdb.com/user/79305,Carlos Cela,345,2,4
9,https://rgtdb.com/user/17957,Tom Gakes [drft],340,9,4
10,https://rgtdb.com/user/35315,Mike Lister,337,10,4
11,https://rgtdb.com/user/112364,Stefan Kruger sanz,332,4,4
12,https://rgtdb.com/user/193520,David Ellis (c) m,326,10,4
13,https://rgtdb.com/user/61282,Daniel Neugebauer,316,14,4
14,https://rgtdb.com/user/141761,Alasdair Mcalpine,311,4,4
15,https://rgtdb.com/user/175915,Kristen Ege,309,7,4
16,https://rgtdb.com/user/66009,Jurgen Janssens,305,19,4
17,https://rgtdb.com/user/103369,Kader Allouni,302,1,4
18,https://rgtdb.com/user/95553,J. Sammut (a),301,8,4
19,https://rgtdb.com/user/171850,Eduardo Juez,293,19,4
20,https://rgtdb.com/user/21747,Matthew Feely,292,16,4
21,https://rgtdb.com/user/155757,"Jan Linden, vd",268,5,3
22,https://rgtdb.com/user/56133,Peter Austin (bcc),267,28,4
23,https://rgtdb.com/user/168564,Marcus Garwood (o),257,30,4
24,https://rgtdb.com/user/178580,Timo Achenbach,252,29,4
25,https://rgtdb.com/user/128814,Tim Cummins,248,28,4
26,https://rgtdb.com/user/129003,Andrzej Krajewski яʀ,244,5,3
27,https://rgtdb.com/user/126796,Simon Miller sdw,242,8,3
28,https://rgtdb.com/user/171135,Tomasz (m) Poniatowski,242,15,4
29,https://rgtdb.com/user/6305,Mike Ade,237,28,4
30,https://rgtdb.com/user/36792,Francois Iker,236,17,3
31,https://rgtdb.com/user/134803,Steve Mayes (m),232,19,3
32,https://rgtdb.com/user/94990,Danie  Steyn sanz,227,21,3
33,https://rgtdb.com/user/148716,Stuart  Hardy [brt],215,4,3
34,https://rgtdb.com/user/70138,Andrew Beale,207,41,4
35,https://rgtdb.com/user/175441,Tomas Nygren,203,37,4
36,https://rgtdb.com/user/86973,David wcc Buckley wcc,200,38,4
37,https://rgtdb.com/user/65709,Ian stephens Sdw (0),196,37,4
38,https://rgtdb.com/user/228203,Thijmen Cornelissens,185,36,3
39,https://rgtdb.com/user/141031,Kevan Unsworth (m),178,42,4
40,https://rgtdb.com/user/137497,Jørgen Vanbers[яʀ]a,176,2,2
41,https://rgtdb.com/user/67054,Johan Oelofse sanz,176,13,2
42,https://rgtdb.com/user/65012,Dave Morrison,175,49,4
43,https://rgtdb.com/user/127225,Kenneth Vansina[pdl],171,42,3
44,https://rgtdb.com/user/162587,Pedro Reis,153,39,3
45,https://rgtdb.com/user/78574,Stephen Bellio otr,152,39,3
46,https://rgtdb.com/user/87547,Nick Beale,150,11,2
47,https://rgtdb.com/user/197451,Chris (otr) Hopkinson(m),143,27,2
48,https://rgtdb.com/user/177844,Tom  Moss ,142,18,2
49,https://rgtdb.com/user/189298,Rob Miller (m),119,33,2
50,https://rgtdb.com/user/101319,Martin Wilson,118,45,3
51,https://rgtdb.com/user/149819,Peter Kennedy (m),118,36,2
52,https://rgtdb.com/user/48021,Magalhães  Daniel otr m,117,42,2
53,https://rgtdb.com/user/235888,Rich Heath,117,40,2
54,https://rgtdb.com/user/237823,Tom Heremans,110,25,2
55,https://rgtdb.com/user/210578,Ben Van der burg,104,43,2
56,https://rgtdb.com/user/177199,Julian Fussell sdw,101,31,2
57,https://rgtdb.com/user/96645,Marcin Szkudlarek,99,50,2
58,https://rgtdb.com/user/32313,Alex Pleger [яʀ],98,3,1
59,https://rgtdb.com/user/241893,Gaetan Calas,98,3,1
60,https://rgtdb.com/user/74342,Nic Stevenson,97,4,1
61,https://rgtdb.com/user/183281,Chris Duffy bees,96,52,2
62,https://rgtdb.com/user/221746,Tom Yates-ijaz,96,47,2
