RASIO RACING,936
TRANSATLANTIC RAIDERS,897
TEAM SANZ,852
PEDALERS,843
GLASGOW UNITED CC,831
MOON RIDERS,794
TEAM POCOMOTION (BLIGHTY),764
SOUTHBOROUGH (SDW) BEES,641
WESTERLEY TWO,589
WESTERLEY ONE,571
TEAM BTR,559
TEAM CAMERON,377
SOUTHBOROUGH (SDW) SKEETERS,325
WESTERLEY THREE,224
WESTERLEY FOUR,185
TEAM POCOMOTION (VIKINGS),62
