RASIO RACING,380
TEAM SANZ,356
TRANSATLANTIC RAIDERS,346
GLASGOW UNITED CC,336
PEDALERS,333
MOON RIDERS,326
TEAM POCOMOTION (BLIGHTY),293
SOUTHBOROUGH (SDW) BEES,248
WESTERLEY TWO,217
BRT,190
SOUTHBOROUGH (SDW) SKEETERS,177
WESTERLEY ONE,175
TEAM CAMERON,115
WESTERLEY THREE,95
WESTERLEY FOUR,88
TEAM POCOMOTION (VIKINGS),62
