MOON RIDERS 1,388
POCOMOTION,362
GLASGOW UNITED CC,355
RASIO RACING,348
WATFORD VELO SPORT RT,314
TEAM SANZ,295
SOUTHBOROUGH (SDW) STINGERS,274
MOON RIDERS 2,236
SOUTHBOROUGH (SDW) HORNETS,216
WESTERLEY ONE,196
SOUTHBOROUGH (SDW) BEES,170
WESTERLEY TWO,130
TEAM CAMERON,126
TWICKENHAM CC,53
